sync, uptime, seq, step, SWPMON, adc
0xEEEE, 10114788, 3236, 0002, 0.39165, 4.8490120
0xEEEE, 10117920, 3237, 0002, 0.39245, 4.8622110
0xEEEE, 10121065, 3238, 0003, 0.78571, 4.8652628
0xEEEE, 10124164, 3239, 0003, 0.78249, 4.8551919
0xEEEE, 10127288, 3240, 0004, 1.18220, 4.8482490
0xEEEE, 10130413, 3241, 0004, 1.57626, 4.8542763
0xEEEE, 10133536, 3242, 0005, 1.57788, 4.8605325
0xEEEE, 10136661, 3243, 0005, 1.57788, 4.8549630
0xEEEE, 10139786, 3244, 0006, 1.97194, 4.8569467
0xEEEE, 10142918, 3245, 0006, 1.97275, 4.8566415
0xEEEE, 10146045, 3246, 0007, 2.36601, 4.8566415
0xEEEE, 10149172, 3247, 0007, 2.36681, 4.8480201
0xEEEE, 10152286, 3248, 0007, 2.54974, 4.8519875
0xEEEE, 10155401, 3249, 0007, 2.55136, 4.8658732
0xEEEE, 10158526, 3250, 0006, 2.55136, 4.8589303
0xEEEE, 10161652, 3251, 0006, 2.54894, 4.8431373
0xEEEE, 10164777, 3252, 0005, 2.36601, 4.8535897
0xEEEE, 10167909, 3253, 0005, 2.36278, 4.8625925
0xEEEE, 10171035, 3254, 0004, 1.97194, 4.8548867
0xEEEE, 10174151, 3255, 0004, 1.97758, 4.8491646
0xEEEE, 10177285, 3256, 0003, 1.57868, 4.8596933
0xEEEE, 10180413, 3257, 0003, 1.18542, 4.8519875
